num_rooms,num_people,housearea,is_ac,is_tv,is_flat,ave_monthly_income,num_children,is_urban,amount_paid
2,4,742.02,1,1,0,28730.32,1,0,75.4205478375
2,3,776.74,1,1,1,28498.21,1,1,105.5047076625
3,2,651.79,0,1,0,31858.78,0,1,63.8035078625
2,6,824.89,1,1,1,22751.5,0,1,83.6713565875
-1,2,638.39,0,1,0,26305.76,2,1,84.4354068
2,5,1076.14,0,1,1,34651.95,2,0,69.8026311375
3,7,579.55,1,1,1,23892.45,0,0,57.21703695
2,4,777.33,0,1,0,20522.84,1,1,88.0396021625
2,0,549.85,0,0,0,23928.25,2,1,76.4072464125
1,6,764.09,1,0,1,18017.78,2,0,75.6567627625
2,6,879.51,1,1,1,22013.63,0,0,52.820417025
2,6,671.88,0,0,1,14134.17,1,1,70.4426736625
2,7,887.91,1,1,0,20988.27,0,1,90.6064938125
3,4,699.8,0,1,1,12241.93,0,1,61.657070925
1,6,850.87,1,1,0,3776.08,0,1,81.536731875
1,11,946.74,0,1,1,28819.03,2,1,91.2613136
3,7,549.72,0,1,1,41533.34,1,0,69.60330505
0,5,755.03,0,1,0,19693.19,1,0,32.7433301
2,6,828.63,1,1,1,10699.02,2,1,104.55183375
1,5,323.95,0,1,0,26295.5,1,1,63.18045595
3,6,683.29,0,1,1,23182.8,1,0,63.4989008
2,5,557.23,0,0,0,19273.03,0,0,24.6333893125
2,4,683.02,1,1,1,29193.07,1,0,75.766637875
4,4,840.2,1,1,0,33580.57,0,1,81.656344025
1,8,970.75,0,1,0,32285.37,0,0,45.996005125
3,2,929.79,1,0,1,24110.05,2,0,81.874119975
1,5,692.13,0,1,0,26348.19,2,0,61.2647116625
1,1,878.83,0,1,0,34531.17,1,0,46.4639319
3,7,572.78,1,1,1,34099.98,1,0,64.2410159625
2,4,840.06,0,1,1,20857.83,2,1,97.4823775125
2,2,765.99,0,1,0,21128.67,2,0,58.809329525
2,6,627.91,1,1,1,21104.1,3,0,102.95356175
3,6,884.14,1,1,1,25621.9,0,0,76.6861502375
3,6,776.99,1,1,0,15962.89,1,0,64.6561656625
2,8,567.36,1,1,1,12522.58,1,1,112.0813530875
1,5,870.71,0,1,1,29910.62,3,1,101.5151518625
2,4,1177.7,1,1,1,19366.43,3,1,123.033605425
1,5,950.5,0,1,1,15450.66,0,0,51.8394576125
1,2,817.61,0,1,0,38734.51,1,1,77.756199425
1,7,658.86,0,1,1,35701.06,1,0,66.7720770875
3,7,764.33,0,1,1,31872.19,2,0,71.302876825
3,2,1005.38,1,1,1,33346.93,1,1,94.328409925
1,3,968.28,0,1,0,32258.4,2,1,101.8823570375
2,3,800.96,0,1,0,30971.97,2,0,56.9184505875
2,3,564.17,1,1,1,16354.79,0,1,76.26060845
1,5,752.39,0,1,1,35560.75,1,1,73.680519975
2,4,771.59,0,1,1,25489.96,1,1,75.221378575
2,4,1069.32,0,1,0,12435.65,1,1,85.8454752125
3,5,836.5,0,1,1,28629.77,2,1,107.7771965625
3,5,934.82,0,1,0,24210.55,0,1,74.2211315875
2,3,760.75,0,1,0,32129.77,3,0,68.2010751625
1,7,665.07,0,1,0,42115.1,1,1,72.0357990375
1,4,704.72,0,0,0,20191.55,1,1,62.602637075
4,-1,1058.32,1,0,0,17182.76,4,0,74.867272975
2,4,883.45,0,0,0,22813.35,2,0,46.555471975
1,6,626.75,0,1,0,31028.6,3,0,57.2221246375
2,5,635.28,0,1,0,32315.58,1,1,70.9179797125
1,5,574.3,0,1,0,11962.93,0,1,53.6579807125
1,3,813.06,1,1,1,31780.33,2,1,113.605193375
2,7,911.98,0,1,0,26336.01,2,1,99.3554877
2,4,880.15,0,1,0,22242.58,2,1,77.11031275
2,7,931.86,0,1,0,24697.02,0,1,71.8996044
2,6,809.69,0,1,0,18617.69,1,0,38.927016225
2,3,786.46,0,1,0,31008.24,3,0,58.434825375
-1,8,801.48,1,1,0,22003.44,2,1,120.0391358
1,4,748.04,1,1,1,16081.34,0,0,47.7578827625
1,5,670.5,1,0,1,-1013.85,2,0,66.0816297375
2,6,548.96,0,1,0,31400.35,2,0,60.7173312
2,5,569.94,0,0,1,19983.43,1,1,70.3693959875
2,3,731.05,0,1,1,21571.95,1,0,59.94448275
1,4,1035.94,1,1,0,38030.46,1,1,102.7119440125
1,1,799.66,0,0,0,21299.68,1,0,34.647899575
2,5,843.85,0,1,0,19607.07,0,0,38.37451235
2,6,928.7,0,1,1,31689.0,1,1,99.10202355
2,9,856.5,0,1,0,18043.09,1,1,67.4547731625
1,5,767.79,0,1,0,28953.16,0,0,22.931290425
2,7,996.66,1,1,0,30070.15,0,1,77.343897425
4,8,795.46,1,0,0,26405.81,1,1,96.13840585
4,9,678.47,0,0,0,30465.27,2,1,88.3624086875
2,8,861.31,1,1,0,24174.71,1,0,80.0230812375
3,5,819.68,1,0,0,10547.98,0,1,73.266632175
0,3,766.53,0,1,1,25372.96,1,0,37.554997975
4,2,834.13,1,1,0,32820.26,0,0,56.636988775
3,0,618.91,1,1,0,19943.2,0,1,88.6343028375
1,4,942.95,0,0,0,23348.8,1,1,81.3644127875
1,6,1002.71,0,1,1,26478.15,2,0,52.6045750375
2,8,834.85,0,1,1,16956.43,0,0,37.86173925
2,7,868.06,1,0,0,26477.51,0,1,68.97347575
1,5,684.37,1,0,1,33920.09,0,1,71.3554078125
1,4,691.12,1,1,0,47090.5,0,1,87.258286875
4,4,801.12,0,1,0,11182.68,2,1,75.7992694375
2,7,825.89,0,1,0,35389.76,0,1,66.883566775
0,5,606.3,1,1,1,23623.36,1,0,69.8428297625
2,7,1046.44,0,1,1,28452.41,1,1,78.8289002
1,3,550.83,0,1,0,27439.6,2,1,73.309230775
2,2,670.35,0,1,1,16868.7,2,1,83.6301508625
2,3,800.93,1,1,1,26743.0,0,1,93.314766
2,6,881.87,1,1,0,8927.86,0,1,90.013666475
3,5,772.83,0,1,1,31214.57,0,1,82.282885425
1,3,730.49,0,0,0,29719.32,1,1,68.693171625
0,4,844.57,1,1,0,26500.91,1,1,110.102926975
4,2,737.62,1,1,1,35443.13,3,1,127.350901
2,6,643.98,0,0,1,20385.97,0,1,57.1905077625
1,5,587.1,0,0,1,12899.98,1,1,66.410659425
3,9,681.31,0,0,1,36553.92,1,0,45.4242155
0,4,857.96,0,1,0,13955.21,0,0,37.5202099625
3,6,792.56,0,1,0,23087.74,2,1,101.6053451125
1,3,938.51,1,1,0,17284.03,2,0,61.8878081375
3,6,865.67,0,1,1,35757.27,0,0,49.2028162
3,5,1087.35,0,1,0,38651.2,1,1,82.818157275
3,8,669.97,0,1,0,22952.21,1,1,69.1807977625
1,5,635.28,0,1,1,21549.44,1,0,60.2406913125
1,4,608.51,0,1,0,34811.43,2,1,97.121028775
2,9,937.63,0,1,1,10770.83,2,1,104.5094795875
2,5,904.92,1,1,0,5801.91,0,1,88.8345484
1,7,788.73,0,1,1,15850.7,0,1,84.6156658
2,1,939.97,0,0,1,27136.17,1,0,48.4154121625
1,6,895.91,0,0,0,18822.41,1,0,27.7780953875
2,4,690.85,1,1,1,10227.04,0,1,101.7486537375
1,5,888.32,0,1,1,36802.71,1,1,75.390370025
2,4,549.95,0,1,0,34362.91,1,1,75.7449375625
0,5,1046.68,1,0,1,21197.44,1,1,100.2147770125
4,4,869.29,0,1,0,7682.1,1,1,66.7685015
3,3,927.71,0,1,1,28285.37,0,1,72.67198005
2,3,1102.5,0,1,1,20783.2,1,0,51.1405098375
1,5,1031.06,1,1,0,38350.58,3,1,133.324303125
3,3,769.77,0,1,0,15884.25,2,0,67.102400525
1,5,658.94,0,1,1,28110.64,2,1,102.3525140875
3,4,660.55,0,1,1,43636.94,0,1,77.05154105
2,7,664.49,1,1,0,33094.49,1,0,73.7602241875
1,6,701.3,0,1,0,37684.67,0,0,31.3664148
2,5,963.07,0,1,0,44918.46,2,0,61.7523635125
3,5,993.23,0,1,0,31536.8,1,1,94.0011718625
2,7,974.28,1,0,1,9282.02,0,1,78.861909275
2,3,731.11,0,1,1,20693.18,0,0,30.6530426
4,1,862.33,0,1,0,20098.58,1,0,34.1081283
1,2,708.64,1,1,0,34663.71,1,0,70.25693645
1,5,612.54,0,0,1,20217.23,2,0,55.2646068
1,7,840.81,0,0,0,30684.89,0,0,28.306955325
1,2,680.57,1,1,1,4884.15,0,1,77.2289274125
2,8,790.51,1,1,0,24854.53,1,1,113.1785374375
0,6,979.89,1,1,0,14522.36,3,1,114.327021975
2,4,972.95,0,1,1,34625.01,3,1,103.661419075
3,2,676.98,0,1,0,22900.94,2,1,88.945677
2,3,581.22,0,1,0,29023.85,1,1,71.588605975
3,5,1166.71,1,1,1,13738.55,1,1,115.8413106625
2,2,924.17,0,1,0,16058.13,0,0,34.967979925
2,4,996.35,1,1,1,37360.13,1,0,71.4022601375
3,6,1097.89,0,1,1,22277.67,2,1,88.663726725
2,6,548.8,0,1,0,27080.23,2,0,67.9919273
3,7,981.26,0,1,1,-526.54,3,1,97.9406973125
0,4,904.53,1,1,1,56531.08,0,0,72.9049771875
2,4,835.05,1,1,1,-90.52,0,1,99.32675
3,6,786.93,0,1,1,17196.35,0,1,71.0848258625
0,4,1185.36,0,1,1,28864.24,0,1,82.7674243625
2,4,534.15,1,1,0,24618.26,1,1,85.3011329
2,6,700.94,1,1,0,18591.7,0,1,84.8935131
2,6,662.82,0,1,1,20919.1,2,1,82.0571958625
2,7,860.15,0,1,0,39465.64,2,0,63.62864485
4,7,709.59,0,1,1,18900.25,1,0,43.85141555
0,9,843.85,0,0,1,22729.18,1,1,72.156950825
1,6,948.47,0,1,0,25758.26,2,0,59.2720193875
2,6,750.79,0,1,1,22787.4,3,1,111.026212175
3,3,571.3,0,1,0,27899.3,0,0,36.8369646875
3,5,942.5,1,0,1,15292.0,0,0,50.0907916875
2,1,560.7,1,1,0,26586.82,1,0,57.107818875
1,6,701.89,0,1,1,32896.78,0,0,45.7515460375
3,5,1074.9,0,0,1,26420.49,1,0,38.66350315
1,7,892.85,0,1,1,15912.6,1,0,46.7341183875
1,8,848.04,0,1,1,18347.8,1,1,87.0788981875
2,4,749.44,0,1,1,21510.21,2,0,60.3884186125
3,7,754.59,1,1,0,30996.0,1,0,65.3556022375
1,4,821.37,0,0,1,14991.02,0,1,57.94154135
3,7,916.95,0,1,1,19975.74,2,1,97.8417669125
2,6,898.26,1,1,1,15825.46,0,0,65.56729245
2,5,593.12,1,1,1,25339.76,1,1,97.6190790625
3,2,752.36,0,1,1,9371.77,3,0,76.134372725
1,3,757.73,1,1,0,22432.58,2,1,114.4336818
4,8,635.78,0,1,1,24609.66,0,0,54.0417544375
3,6,676.79,0,0,1,21962.35,1,1,72.911131525
3,7,827.01,0,1,1,26537.74,0,0,54.03341965
2,7,606.43,1,1,0,16225.94,2,1,106.307783725
0,1,557.07,1,1,1,7525.82,1,1,100.013492925
1,4,942.08,0,1,1,27218.13,1,1,77.0118117
1,6,833.6,0,1,0,28663.06,0,1,68.491456075
2,8,813.67,1,1,1,15648.87,2,0,77.7123180125
2,6,361.13,0,0,1,28218.63,1,0,55.23424115
2,5,711.94,0,1,1,19210.78,1,0,52.31353145
1,7,696.3,0,1,0,30768.18,1,1,66.5603490875
2,6,599.88,0,1,1,24223.48,0,1,61.7676164625
1,7,661.46,0,1,1,31908.08,1,0,55.53378725
3,6,704.81,0,1,0,20227.31,0,0,23.679382
2,4,828.85,0,1,0,-1048.77,2,0,47.8286122125
2,7,915.66,0,1,0,8824.44,0,1,54.59434835
0,4,906.78,0,1,0,24609.42,2,1,99.2169280125
3,4,916.19,1,1,0,19258.73,2,1,121.4602262375
3,8,631.54,0,1,1,12107.02,1,1,94.510903775
1,4,802.95,0,1,0,47110.28,1,0,51.2883324375
2,1,597.39,1,1,0,20184.42,1,1,96.13220765
3,9,744.67,1,1,1,26095.19,1,1,98.55671245
0,2,840.99,1,1,1,26297.68,2,0,82.9793924
1,6,1066.39,1,0,1,47483.47,1,1,93.6011323125
3,5,820.39,0,1,1,9501.99,2,1,98.406799275
3,7,824.91,1,0,0,20618.16,3,1,116.3767799
0,2,702.84,0,0,1,23958.43,0,1,59.378180175
2,2,653.43,1,0,1,25127.72,1,1,96.127730225
2,5,663.28,0,1,1,32704.18,1,1,81.308328075
0,5,780.22,0,1,1,14164.11,2,1,102.2953681
2,6,911.58,1,0,1,36316.9,1,0,59.38471745
2,5,244.4,1,0,1,39823.7,2,1,107.3339609625
2,5,674.53,0,1,0,16451.23,0,0,20.420596425
3,5,1019.52,1,1,1,21532.89,1,1,95.065538025
1,1,515.34,0,1,1,11753.98,0,1,57.51382605
1,5,584.85,0,0,0,2108.61,0,1,55.101556225
4,7,900.39,1,1,0,22294.67,1,1,110.4514771125
4,6,829.15,1,1,0,18777.36,2,1,104.1486937125
2,4,814.28,0,1,0,34929.14,1,0,52.3479059875
1,8,895.34,1,1,0,36314.02,1,0,66.5902001875
2,6,911.72,1,1,1,24762.94,0,1,105.74621945
4,7,770.68,1,0,0,24871.18,0,1,89.276210625
1,3,824.05,0,1,0,38321.36,3,1,98.0157422375
5,3,750.58,0,0,0,13397.44,0,1,54.9488755375
1,9,835.59,0,1,0,44083.19,0,1,72.5157629375
1,2,791.78,1,1,0,27267.91,2,1,110.3275162125
3,5,879.29,1,1,0,24582.51,3,0,93.6111506
0,4,1116.41,0,1,1,19658.51,3,0,73.197138675
2,3,698.84,0,0,0,26577.03,1,1,55.278281375
2,5,842.02,0,1,1,36015.54,2,1,104.7263237
2,6,787.1,0,1,1,29109.56,4,0,100.4379245
4,3,720.31,1,0,1,22691.55,2,1,106.1606545125
3,5,773.66,1,0,1,35807.59,0,1,96.317305225
2,2,1075.89,0,0,1,16451.71,0,0,44.7230575875
2,4,772.33,0,0,0,31731.94,2,1,66.451307875
2,5,662.58,0,1,1,22932.87,1,1,97.8817912625
1,8,843.47,1,1,1,33015.78,0,1,96.32196985
3,6,551.32,0,1,0,40545.49,1,0,46.4045767875
1,5,831.82,1,1,1,28563.2,0,0,58.9866309125
1,4,870.57,0,1,0,10237.39,1,1,64.5058140875
2,7,786.06,0,1,0,35869.9,2,1,82.0382258
2,9,759.64,1,1,1,19296.1,1,0,79.4895153375
2,6,520.46,0,1,0,38685.23,3,1,109.7816645875
2,7,811.63,0,1,1,47453.09,2,1,87.5273435875
2,5,974.83,1,1,0,18894.52,2,1,122.03906765
1,5,836.06,1,0,0,24032.65,0,0,31.6384656375
1,5,812.24,1,1,1,19179.15,0,1,99.464513375
1,8,1055.17,1,1,0,15189.3,1,0,67.6023876125
3,11,555.62,0,0,1,52765.1,0,1,60.1635290875
2,10,1064.73,0,1,1,27339.04,1,0,56.9727520375
2,5,771.82,0,1,1,26668.29,2,1,109.906309375
1,6,801.99,0,1,1,22542.9,1,0,40.738836075
3,6,730.36,0,1,1,19302.3,1,1,93.0322029125
2,6,753.22,1,1,0,15696.01,0,1,75.0760583
1,4,877.23,0,1,1,33337.88,1,1,87.62858465
4,5,762.6,0,0,1,12326.43,0,0,42.20253015
2,5,778.5,0,1,0,26252.68,2,0,61.610457475
3,7,725.84,0,1,1,18666.0,2,0,62.1892822625
2,1,661.54,1,1,1,40260.49,0,1,93.3932458125
2,4,504.24,0,1,0,25193.6,1,0,33.1154465125
2,4,825.94,1,0,1,27846.65,2,0,61.5743908875
1,3,634.29,1,1,0,38155.18,0,1,76.61737085
2,2,736.14,1,1,1,36618.88,0,0,64.5889304375
3,1,851.93,0,0,0,16419.26,1,1,70.88008565
1,7,528.29,1,1,1,34288.53,0,1,95.4507178
2,4,586.48,0,1,1,28153.0,0,1,77.5905112875
0,6,620.29,1,0,0,31055.69,1,1,93.496885375
1,8,957.95,0,1,0,34888.0,2,1,99.436842975
2,5,583.22,1,1,0,19597.04,1,0,76.2273989625
3,7,729.7,1,1,0,29004.38,0,1,83.6170697875
2,10,606.2,1,1,1,31577.13,1,0,67.5182751125
3,7,601.03,0,1,1,23941.9,1,1,88.63733665
1,7,935.01,0,1,1,27243.07,2,0,74.879467125
2,8,652.2,1,0,0,10756.64,3,0,66.2893838875
3,4,743.58,0,1,1,17822.06,0,1,62.9926525625
1,6,889.06,0,1,1,-1576.44,1,0,38.6049117125
4,6,681.32,1,1,0,13481.07,1,1,109.4166271375
0,6,949.59,0,0,0,5200.62,3,0,63.640873575
2,7,509.38,0,1,0,46025.99,0,1,81.866985125
2,6,888.47,1,1,0,27854.32,2,0,74.0008702
2,9,747.74,0,1,0,21937.54,2,0,46.557799325
2,7,770.67,0,1,0,19771.94,3,1,90.962408
3,5,634.83,1,1,1,16128.76,3,0,96.7172646625
2,8,605.21,0,0,1,34695.89,2,1,85.1194694375
3,4,695.24,0,1,0,26862.82,0,1,74.8152501625
1,2,694.55,0,1,1,8498.6,1,1,93.713318725
3,5,798.92,1,1,1,20900.09,2,1,105.5262275125
1,5,595.7,1,0,0,18885.43,1,1,88.15767625
2,7,957.28,1,1,0,18063.68,0,0,44.6227933875
3,5,845.62,1,0,1,28938.08,1,0,58.0327392125
4,8,765.55,0,1,1,17127.48,0,1,83.0026019625
2,3,1063.48,0,1,0,20030.28,1,1,82.37061
1,6,950.08,0,1,1,19782.36,2,0,66.468294
1,4,733.47,0,1,0,29943.51,2,1,77.030200725
1,5,889.54,0,1,1,8708.73,2,0,48.5727395
2,6,931.66,1,0,1,22386.93,1,0,77.251266425
1,9,879.67,0,1,0,34346.14,1,0,41.1968701375
1,2,768.1,0,0,0,14810.27,2,1,82.2633453875
3,6,891.78,1,1,0,32648.4,1,0,63.3020803
2,5,742.32,1,1,1,30714.7,1,1,113.0832667875
1,1,965.07,0,1,1,25904.59,2,0,49.582568525
0,6,686.45,1,1,0,46078.72,1,0,80.6521223875
1,5,961.91,1,1,0,27755.02,0,0,57.8017724875
2,5,1069.87,1,1,1,25057.67,0,1,93.5396738
3,8,867.34,1,1,1,28403.65,1,0,67.674357925
3,5,686.58,0,1,0,44804.64,0,0,26.404660525
2,4,1015.45,0,1,0,24516.2,1,1,71.080548425
1,2,669.69,1,1,1,24973.46,0,0,45.0676871
2,3,626.42,1,1,1,19085.43,0,1,89.6823799125
1,3,1072.0,1,1,1,10174.71,0,1,101.3378819
2,4,865.04,1,1,1,18391.27,0,1,85.9117960125
1,4,688.98,0,1,1,36571.26,2,1,103.7444609
1,5,785.52,0,1,1,17110.12,0,1,77.5231546625
2,0,797.67,1,1,1,19047.93,2,0,92.2660917375
4,4,846.15,0,1,0,35945.14,0,1,60.4468389125
2,4,773.2,0,1,0,34162.2,1,1,85.378934675
2,9,998.93,0,1,1,34392.57,0,1,70.9486361125
4,5,868.58,0,1,0,6788.84,2,0,48.2297401625
2,7,751.99,0,1,1,13348.51,1,0,44.609521575
2,2,666.58,1,1,1,27716.53,1,0,66.2947389375
2,5,901.61,1,1,1,30061.2,1,1,115.106927925
2,4,902.76,0,1,0,14608.19,1,1,73.6761081625
2,2,796.83,0,0,1,13898.86,0,1,74.558667575
3,5,642.72,0,1,0,25405.56,0,0,22.2489373
2,4,832.37,0,1,1,6343.89,2,0,66.1888816625
2,5,988.29,1,1,1,41764.78,2,1,131.6735415
1,6,682.29,1,1,1,23078.73,0,0,62.2619280625
2,4,838.84,1,1,1,38464.04,3,1,127.825276375
1,5,890.73,0,1,1,30770.24,3,1,100.7091427625
2,2,752.77,0,1,1,21188.82,0,0,39.9292350375
3,4,748.97,0,0,0,31973.67,2,1,72.4047001375
1,9,572.76,1,1,1,35408.69,3,1,124.040139775
2,4,936.44,1,1,0,6757.32,3,1,125.29781325
2,5,943.71,0,0,0,26873.88,2,0,35.835612475
0,5,868.52,0,1,1,17440.95,0,0,28.618918775
2,4,885.58,0,0,0,34893.47,1,0,35.8146876
1,3,519.84,0,1,1,20211.03,0,0,39.165728075
2,3,958.46,0,1,1,28827.97,2,1,109.8778164875
1,6,699.62,1,1,1,31778.47,0,1,85.600124825
3,6,709.33,0,1,0,18368.07,0,0,44.7489126625
2,1,835.9,0,1,1,24741.96,0,0,43.6148941375
0,5,669.56,0,0,1,29937.32,1,0,52.1862136375
1,7,1090.44,0,0,0,32838.33,1,1,85.8616187875
1,8,535.6,1,1,1,30021.33,0,0,72.8894709
3,7,771.06,1,1,1,19482.65,0,0,59.4284130875
2,4,1147.92,0,1,0,17006.08,1,1,74.0989276875
2,7,938.86,1,1,0,16126.88,2,1,119.0466468
2,5,947.73,0,1,0,31293.59,1,0,46.2591532
3,6,848.71,0,1,0,12959.34,0,1,54.339802025
3,6,958.96,0,1,0,19078.68,2,1,80.1766021375
2,4,687.94,0,1,1,24203.05,1,0,50.0682703
3,5,811.93,0,1,1,38603.17,0,0,36.761306725
1,3,988.94,0,1,1,15642.66,1,1,73.3665959
2,3,703.79,0,1,0,42236.78,0,1,54.673314225
4,3,534.57,1,1,1,23102.74,2,0,88.0123303125
